quarter,interconnector_id,from_region,surplus_aud,total_units_sold,payout_per_unit,weighted_avg_clearing_price,alpha,alpha_pct
C2024Q2,V-SA,VIC1,6070283.775789993,880.0,6898.0497,12626.6204,-5728.5707,-45.37
C2024Q2,VIC1-NSW1,NSW1,5840962.395590019,1312.0,4451.953,1803.8976,2648.0554,146.8
C2024Q2,VIC1-NSW1,VIC1,15490359.394709963,1515.0,10224.6597,19077.8267,-8853.167,-46.41
C2024Q3,NSW1-QLD1,NSW1,2462859.0527499923,604.0,4077.5812,5250.4412,-1172.86,-22.34
C2024Q3,NSW1-QLD1,QLD1,47522702.3213297,1210.0,39274.9606,24938.9769,14335.9837,57.48
C2024Q3,V-SA,SA1,9521855.066450002,793.0,12007.3834,4943.6866,7063.6968,142.88
C2024Q3,V-SA,VIC1,35106145.98650997,893.0,39312.5935,13870.5252,25442.0683,183.43
C2024Q3,VIC1-NSW1,NSW1,7199376.243789998,1305.0,5516.7634,1892.4042,3624.3592,191.52
C2024Q3,VIC1-NSW1,VIC1,41713205.816590026,1525.0,27352.9218,20424.9795,6927.9423,33.92
C2024Q4,NSW1-QLD1,NSW1,6936483.621360002,553.0,12543.37,8894.9371,3648.4329,41.02
C2024Q4,NSW1-QLD1,QLD1,45939468.89647012,1280.0,35890.2101,14773.6368,21116.5733,142.93
C2024Q4,V-SA,SA1,3903295.662349993,796.0,4903.6378,5145.7014,-242.0636,-4.7
C2024Q4,V-SA,VIC1,7449565.001549968,889.0,8379.7132,13487.4961,-5107.7829,-37.87
C2024Q4,VIC1-NSW1,NSW1,-31805558.846290126,1335.0,-23824.3886,1295.7286,-25120.1172,-1938.69
C2024Q4,VIC1-NSW1,VIC1,45242095.90597025,1551.0,29169.6299,18418.3205,10751.3094,58.37
C2025Q1,NSW1-QLD1,NSW1,9975738.06230008,558.0,17877.6668,16698.5063,1179.1605,7.06
C2025Q1,NSW1-QLD1,QLD1,27772602.35299995,1270.0,21868.1908,19731.469,2136.7218,10.83
C2025Q1,V-SA,SA1,1678235.028079997,798.0,2103.0514,6638.0877,-4535.0363,-68.32
C2025Q1,V-SA,VIC1,7893500.082609993,889.0,8879.0777,24893.7413,-16014.6636,-64.33
C2025Q1,VIC1-NSW1,NSW1,-6327807.609100028,1334.0,-4743.484,4312.0843,-9055.5683,-210.0
C2025Q1,VIC1-NSW1,VIC1,19547005.95155999,1545.0,12651.7838,20607.5568,-7955.773,-38.61
C2025Q2,NSW1-QLD1,NSW1,1105982.9538799983,560.0,1974.9696,5642.7713,-3667.8017,-65.0
C2025Q2,NSW1-QLD1,QLD1,84560601.80324012,1236.0,68414.7264,29115.7141,39299.0123,134.98
C2025Q2,V-SA,SA1,2016106.8871099995,799.0,2523.2877,4755.6858,-2232.3981,-46.94
C2025Q2,V-SA,VIC1,7218300.88037004,895.0,8065.1406,16003.1265,-7937.9859,-49.6
C2025Q2,VIC1-NSW1,NSW1,-11327442.027140047,1337.0,-8472.2827,2210.8038,-10683.0865,-483.22
C2025Q2,VIC1-NSW1,VIC1,22729520.961500134,1535.0,14807.5055,20174.8708,-5367.3653,-26.6
C2025Q3,NSW1-QLD1,NSW1,398295.76431000105,550.0,724.1741,5800.9405,-5076.7664,-87.52
C2025Q3,NSW1-QLD1,QLD1,30431561.170110136,1242.0,24502.0621,30340.3757,-5838.3136,-19.24
C2025Q3,V-SA,SA1,3921056.994700002,805.0,4870.8783,5060.5644,-189.6861,-3.75
C2025Q3,V-SA,VIC1,13307369.110690003,920.0,14464.5316,15956.2969,-1491.7653,-9.35
C2025Q3,VIC1-NSW1,NSW1,4968837.091189984,1330.0,3735.9677,2405.8529,1330.1148,55.29
C2025Q3,VIC1-NSW1,VIC1,32559583.359799907,1506.0,21619.9093,20819.0516,800.8577,3.85
C2025Q4,NSW1-QLD1,NSW1,4198702.9619399905,551.0,7620.1506,9162.6623,-1542.5117,-16.83
C2025Q4,NSW1-QLD1,QLD1,31516278.676369905,1216.0,25917.9923,17931.0422,7986.9501,44.54
C2025Q4,V-SA,SA1,2822736.1530000027,831.0,3396.7944,4622.8562,-1226.0618,-26.52
C2025Q4,V-SA,VIC1,5957218.712970008,906.0,6575.2966,12717.848,-6142.5514,-48.3
C2025Q4,VIC1-NSW1,NSW1,-12757834.742969967,1342.0,-9506.5833,1725.3523,-11231.9356,-650.99
C2025Q4,VIC1-NSW1,VIC1,32740696.07800984,1524.0,21483.3964,16514.1004,4969.296,30.09
C2026Q1,NSW1-QLD1,NSW1,5238897.036769987,560.0,9355.1733,17536.4088,-8181.2355,-46.65
C2026Q1,NSW1-QLD1,QLD1,28195005.398020167,1258.0,22412.5639,21922.9673,489.5966,2.23
C2026Q1,V-SA,SA1,324686.04205999896,787.0,412.5617,5306.5108,-4893.9491,-92.23
C2026Q1,V-SA,VIC1,48671496.73476994,884.0,55058.2542,19437.2159,35621.0383,183.26
C2026Q1,VIC1-NSW1,NSW1,-6380987.104270004,1309.0,-4874.7037,4587.6686,-9462.3723,-206.26
C2026Q1,VIC1-NSW1,VIC1,21625400.0807201,1500.0,14416.9334,17071.2267,-2654.2933,-15.55
C2026Q2,NSW1-QLD1,NSW1,482654.6237099997,560.0,861.8833,4517.0979,-3655.2146,-80.92
C2026Q2,NSW1-QLD1,QLD1,6946026.987230011,1227.0,5660.9837,32265.6348,-26604.6511,-82.46
C2026Q2,V-SA,SA1,72648.78775999998,799.0,90.9246,4201.8476,-4110.923,-97.84
C2026Q2,V-SA,VIC1,9815177.862770036,890.0,11028.2897,13118.6742,-2090.3845,-15.93
C2026Q2,VIC1-NSW1,NSW1,466477.702029998,1311.0,355.8182,2504.2407,-2148.4225,-85.79
C2026Q2,VIC1-NSW1,VIC1,19703081.098089933,1506.0,13083.0552,16535.7747,-3452.7195,-20.88
