decision_timestamp,information_cutoff,source_timestamp_max,contract_id,product_id,quarter,tranche,tranche_no,interconnector_id,from_region,ruleset_id,units_offered,units_sold,fill_probability,fair_value_forecast,auction_clearing_price,final_realised_payout_per_unit,expected_alpha,confidence_band,forecast_error_to_clearing,forecast_error_to_realised,realised_alpha,source_lineage
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q1T10,C2019Q1:V-SA:SA1:T10,C2019Q1,T10,10,V-SA,SA1,RS-BASELINE-v1,64,64,1.0,3446.0,5676.98,,-2230.9799999999996,negative,-2230.9799999999996,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q1T10,C2019Q1:V-SA:VIC1:T10,C2019Q1,T10,10,V-SA,VIC1,RS-BASELINE-v1,73,73,1.0,2570.0,7940.0,,-5370.0,negative,-5370.0,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q1T10,C2019Q1:VIC1-NSW1:NSW1:T10,C2019Q1,T10,10,VIC1-NSW1,NSW1,RS-BASELINE-v1,108,108,1.0,2348.45,7011.88,,-4663.43,negative,-4663.43,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q1T10,C2019Q1:VIC1-NSW1:VIC1:T10,C2019Q1,T10,10,VIC1-NSW1,VIC1,RS-BASELINE-v1,125,125,1.0,4011.0,5148.0,,-1137.0,negative,-1137.0,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q1T11,C2019Q1:NSW1-QLD1:NSW1:T11,C2019Q1,T11,11,NSW1-QLD1,NSW1,RS-BASELINE-v1,45,45,1.0,4390.0,2567.37,,1822.63,medium,1822.63,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q1T11,C2019Q1:NSW1-QLD1:QLD1:T11,C2019Q1,T11,11,NSW1-QLD1,QLD1,RS-BASELINE-v1,100,100,1.0,10750.0,13812.0,,-3062.0,negative,-3062.0,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q1T11,C2019Q1:V-SA:SA1:T11,C2019Q1,T11,11,V-SA,SA1,RS-BASELINE-v1,64,64,1.0,5676.98,4997.86,,679.1199999999999,medium,679.1199999999999,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q1T11,C2019Q1:V-SA:VIC1:T11,C2019Q1,T11,11,V-SA,VIC1,RS-BASELINE-v1,73,73,1.0,7940.0,6071.0,,1869.0,medium,1869.0,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q1T11,C2019Q1:VIC1-NSW1:NSW1:T11,C2019Q1,T11,11,VIC1-NSW1,NSW1,RS-BASELINE-v1,108,108,1.0,7011.88,7011.0,,0.8800000000001091,low,0.8800000000001091,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q1T11,C2019Q1:VIC1-NSW1:VIC1:T11,C2019Q1,T11,11,VIC1-NSW1,VIC1,RS-BASELINE-v1,125,125,1.0,5148.0,6012.0,,-864.0,negative,-864.0,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
