decision_timestamp,quarter,interconnector_id,from_region,product_id,tranche_no,confidence_band,split,max_bid,auction_clearing_price,final_realised_payout_per_unit,bid_units,executed_units,lock_days,acquisition_cost,realised_payout,realised_pnl,expected_alpha,realised_alpha,free_capital_after,portfolio_value_after
2021-09-01T00:00:00+00:00,C2020Q2,V-SA,SA1,C2020Q2:V-SA:SA1:T07,7,medium,in_sample,5494.030000000001,4368.0,554.3308,5,5,0,21861.84,2771.6539999999995,-19090.186,1126.0300000000009,-3813.6692,198199.7133171233,222688.3032623288
2021-09-01T00:00:00+00:00,C2020Q2,V-SA,VIC1,C2020Q2:V-SA:VIC1:T07,7,medium,in_sample,2810.51,1768.0,676.9195,7,7,0,12388.376,4738.4365,-7649.9395,1042.5100000000002,-1091.0805,188582.9913171233,203598.11726232877
2021-09-01T00:00:00+00:00,C2020Q2,VIC1-NSW1,NSW1,C2020Q2:VIC1-NSW1:NSW1:T07,7,low,in_sample,2629.9849999999997,2175.0,343.3946,8,8,0,17417.4,2747.1568,-14670.2432,454.9849999999997,-1831.6054,175904.02781712328,195948.17776232876
2021-09-01T00:00:00+00:00,C2020Q2,VIC1-NSW1,VIC1,C2020Q2:VIC1-NSW1:VIC1:T07,7,low,in_sample,4234.6,4111.0,1075.6146,4,4,0,16460.444,4302.4584,-12157.9856,123.60000000000036,-3035.3854,162190.7406171233,181277.93456232877
2021-09-01T00:00:00+00:00,C2020Q3,NSW1-QLD1,NSW1,C2020Q3:NSW1-QLD1:NSW1:T06,6,low,in_sample,670.995,366.0,2.041,4,4,0,1465.464,8.164,-1457.3,304.995,-363.959,165027.73501712325,169119.94896232872
2021-09-01T00:00:00+00:00,C2020Q3,NSW1-QLD1,QLD1,C2020Q3:NSW1-QLD1:QLD1:T06,6,medium,in_sample,10225.0,8942.0,14674.6802,1,1,0,8950.942,14674.6802,5723.738200000002,1283.0,5732.680200000001,156084.95701712326,167662.64896232873
2021-09-01T00:00:00+00:00,C2020Q3,V-SA,SA1,C2020Q3:V-SA:SA1:T06,6,medium,in_sample,5635.0,4933.0,12860.4591,3,3,0,14813.799,38581.3773,23767.5783,702.0,7927.4591,155945.83821712327,173386.38716232876
2021-09-01T00:00:00+00:00,C2020Q3,V-SA,VIC1,C2020Q3:V-SA:VIC1:T06,6,medium,in_sample,2923.3599999999997,1730.0,456.305,7,7,0,12122.11,3194.135,-8927.975,1193.3599999999997,-1273.695,182405.10551712324,197153.96546232872
2021-09-01T00:00:00+00:00,C2020Q3,VIC1-NSW1,NSW1,C2020Q3:VIC1-NSW1:NSW1:T06,6,low,in_sample,2116.5,1975.0,3936.2897,9,9,0,17792.775,35426.607299999996,17633.832299999995,141.5,1961.2897,167806.46551712323,188225.99046232871
2021-09-01T00:00:00+00:00,C2020Q4,NSW1-QLD1,NSW1,C2020Q4:NSW1-QLD1:NSW1:T05,5,low,in_sample,1100.5,875.0,1725.8352,4,4,0,3503.5,6903.3408,3399.8408,225.5,850.8352,199729.5728171232,205859.8227623287
2021-09-01T00:00:00+00:00,C2020Q4,NSW1-QLD1,QLD1,C2020Q4:NSW1-QLD1:QLD1:T05,5,low,in_sample,6184.5,5858.0,25774.5571,3,3,0,17591.574,77323.6713,59732.0973,326.5,19916.5571,189041.33961712322,209259.6635623287
2021-09-01T00:00:00+00:00,C2020Q4,V-SA,SA1,C2020Q4:V-SA:SA1:T05,5,medium,in_sample,5688.0,4933.0,11160.443,5,5,0,24689.665,55802.215,31112.549999999996,755.0,6227.442999999999,241675.34591712322,268991.7608623287
2021-09-01T00:00:00+00:00,C2020Q4,V-SA,VIC1,C2020Q4:V-SA:VIC1:T05,5,medium,in_sample,3404.35,1916.88,806.168,7,7,0,13431.57816,5643.176,-7788.402159999999,1487.4699999999998,-1110.712,284045.98275712325,300104.31086232874
2021-09-01T00:00:00+00:00,C2020Q4,VIC1-NSW1,VIC1,C2020Q4:VIC1-NSW1:VIC1:T05,5,low,in_sample,4322.9349999999995,4269.96,13678.2398,6,6,0,25645.379760000003,82069.4388,56424.05904,52.974999999999454,9408.2798,264043.77899712324,292315.90870232874
2021-09-01T00:00:00+00:00,C2021Q1,NSW1-QLD1,NSW1,C2021Q1:NSW1-QLD1:NSW1:T04,4,medium,in_sample,4150.0,3650.0,1728.9988,4,4,0,14614.6,6915.9952,-7698.6048,500.0,-1921.0012,331498.61779712327,348739.96774232876
2021-09-01T00:00:00+00:00,C2021Q1,V-SA,SA1,C2021Q1:V-SA:SA1:T04,4,high,in_sample,7461.71,4933.0,4085.0143,6,6,0,29627.598,24510.0858,-5117.512200000001,2528.71,-847.9857000000002,308787.0149971233,341041.36294232873
2021-09-01T00:00:00+00:00,C2021Q1,V-SA,VIC1,C2021Q1:V-SA:VIC1:T04,4,high,in_sample,9450.47,7128.0,11762.9919,4,4,0,28540.512,47051.9676,18511.455600000005,2322.4699999999993,4634.991900000001,304756.5887971233,335923.8507423288
2021-09-01T00:00:00+00:00,C2021Q1,VIC1-NSW1,NSW1,C2021Q1:VIC1-NSW1:NSW1:T04,4,medium,in_sample,4436.0,3780.0,-162.121,9,9,0,34054.02,-1459.0890000000002,-35513.109,656.0,-3942.121,317754.53639712324,354435.3063423287
2021-09-01T00:00:00+00:00,C2021Q1,VIC1-NSW1,VIC1,C2021Q1:VIC1-NSW1:VIC1:T04,4,low,in_sample,5489.0,5362.0,10776.3511,5,5,0,26836.81,53881.7555,27044.945499999998,127.0,5414.3511,289458.63739712327,318922.1973423287
2021-09-01T00:00:00+00:00,C2021Q2,NSW1-QLD1,NSW1,C2021Q2:NSW1-QLD1:NSW1:T03,3,low,in_sample,671.01,387.0,17377.1655,4,4,0,1549.548,69508.662,67959.114,284.01,16990.1655,341790.8448971232,345967.1428423287
2021-09-01T00:00:00+00:00,C2021Q2,V-SA,SA1,C2021Q2:V-SA:SA1:T03,3,medium,in_sample,5494.030000000001,4933.0,2720.1245,6,6,0,29627.598,16320.747,-13306.851000000002,561.0300000000007,-2212.8755,381671.90889712324,413926.2568423287
2021-09-01T00:00:00+00:00,C2021Q2,V-SA,VIC1,C2021Q2:V-SA:VIC1:T03,3,medium,in_sample,3064.55,1885.0,2840.6094,7,7,0,13208.195,19884.265799999997,6676.070799999998,1179.5500000000002,955.6093999999998,384784.4608971232,400619.4058423287
2021-09-01T00:00:00+00:00,C2021Q2,VIC1-NSW1,NSW1,C2021Q2:VIC1-NSW1:NSW1:T03,3,low,in_sample,2184.0,1856.0,1637.3334,10,10,0,18578.56,16373.333999999999,-2205.2260000000024,328.0,-218.6666,386090.1666971232,407295.47664232866
2021-09-01T00:00:00+00:00,C2021Q2,VIC1-NSW1,VIC1,C2021Q2:VIC1-NSW1:VIC1:T03,3,low,in_sample,4166.0,4026.0,45480.7168,9,9,0,36270.234,409326.4512,373056.2172,140.0,41454.7168,366193.2666971232,405090.25064232864
2021-09-01T00:00:00+00:00,C2021Q3,NSW1-QLD1,QLD1,C2021Q3:NSW1-QLD1:QLD1:T02,2,high,in_sample,10228.2,6003.0,2648.4966,10,10,91,61287.34068493151,26484.966,-34802.37468493151,4225.200000000001,-3354.5034,714232.3772121917,778146.4678423287
2021-09-01T00:00:00+00:00,C2021Q3,V-SA,SA1,C2021Q3:V-SA:SA1:T02,2,high,in_sample,9568.8,6315.41,6134.4668,6,6,91,38686.12536082192,36806.8008,-1879.3245608219222,3253.3899999999994,-180.9431999999997,675546.2518513697,778146.4678423286
2021-09-01T00:00:00+00:00,C2021Q3,V-SA,VIC1,C2021Q3:V-SA:VIC1:T02,2,low,in_sample,2760.0,2525.0,2681.1209,7,7,91,18045.206506849314,18767.846299999997,722.6397931506835,235.0,156.1208999999999,657501.0453445205,778146.4678423287
2021-09-01T00:00:00+00:00,C2021Q3,VIC1-NSW1,NSW1,C2021Q3:VIC1-NSW1:NSW1:T02,2,low,in_sample,2208.0,1975.0,-553.6045,10,10,91,20163.66780821918,-5536.045,-25699.712808219178,233.0,-2528.6045,637337.3775363013,778146.4678423286
2021-09-01T00:00:00+00:00,C2021Q3,VIC1-NSW1,VIC1,C2021Q3:VIC1-NSW1:VIC1:T02,2,low,in_sample,5918.4,5602.0,16195.6978,11,11,91,62912.6854520548,178152.6758,115239.99034794519,316.39999999999964,10593.6978,574424.6920842464,778146.4678423286
2021-09-01T00:00:00+00:00,C2021Q4,NSW1-QLD1,QLD1,C2021Q4:NSW1-QLD1:QLD1:T01,1,high,in_sample,9777.0,5741.0,-1417.5822,10,10,181,59744.93547945206,-14175.822,-73920.75747945206,4036.0,-7158.5822,514679.75660479435,778146.4678423286
2021-09-01T00:00:00+00:00,C2021Q4,V-SA,SA1,C2021Q4:V-SA:SA1:T01,1,low,in_sample,5372.4,4933.0,6500.1411,6,6,181,30801.787150684933,39000.8466,8199.059449315064,439.3999999999997,1567.1410999999998,483877.96945410944,778146.4678423286
2021-09-01T00:00:00+00:00,C2021Q4,VIC1-NSW1,NSW1,C2021Q4:VIC1-NSW1:NSW1:T01,1,low,in_sample,2629.97,2208.0,-2789.0831,10,10,181,22978.02082191781,-27890.831,-50868.85182191781,421.9699999999998,-4997.0831,460899.94863219163,778146.4678423286
2022-05-01T00:00:00+00:00,C2020Q2,NSW1-QLD1,NSW1,C2020Q2:NSW1-QLD1:NSW1:T10,10,low,in_sample,381.0,226.0,0.0,4,4,0,904.904,0.0,-904.904,155.0,-226.0,713268.9341321918,715193.0671732877
2022-05-01T00:00:00+00:00,C2020Q2,NSW1-QLD1,NSW1,C2020Q2:NSW1-QLD1:NSW1:T11,11,low,in_sample,310.5,207.96,0.0,11,4,0,832.6718400000001,0.0,-832.6718400000001,102.54,-207.96,712436.2622921919,714288.1631732878
2022-05-01T00:00:00+00:00,C2020Q2,NSW1-QLD1,NSW1,C2020Q2:NSW1-QLD1:NSW1:T12,12,low,in_sample,240.0,174.14,0.0,9,5,0,871.5707,0.0,-871.5707,65.86000000000001,-174.14,711564.6915921918,713455.4913332877
2022-05-01T00:00:00+00:00,C2020Q2,V-SA,VIC1,C2020Q2:V-SA:VIC1:T10,10,medium,in_sample,1811.0,1273.96,676.9195,7,7,0,8926.63772,4738.4365,-4188.201220000001,537.04,-597.0405000000001,702638.0538721918,712583.9206332878
2022-05-01T00:00:00+00:00,C2020Q2,V-SA,VIC1,C2020Q2:V-SA:VIC1:T11,11,medium,in_sample,1789.5,1208.95,676.9195,18,7,0,8471.11265,4738.4365,-3732.6761499999993,580.55,-532.0305000000001,698905.3777221917,708395.7194132876
2022-05-01T00:00:00+00:00,C2020Q2,V-SA,VIC1,C2020Q2:V-SA:VIC1:T12,12,medium,in_sample,1768.0,1250.0,676.9195,17,7,0,8758.75,4738.4365,-4020.3135,518.0,-573.0805,694885.0642221918,704663.0432632877
2022-05-01T00:00:00+00:00,C2020Q2,VIC1-NSW1,VIC1,C2020Q2:VIC1-NSW1:VIC1:T10,10,low,in_sample,4175.0,3999.8,1075.6146,12,12,0,48045.59760000001,12907.375200000002,-35138.222400000006,175.19999999999982,-2924.1854000000003,651577.9031221918,700642.7297632877
2022-05-01T00:00:00+00:00,C2020Q2,VIC1-NSW1,VIC1,C2020Q2:VIC1-NSW1:VIC1:T11,11,medium,in_sample,4143.0,2807.0,1075.6146,23,9,0,25288.263,9680.531400000002,-15607.731599999997,1336.0,-1731.3854,639197.0153221918,665504.5073632876
2022-05-01T00:00:00+00:00,C2020Q2,VIC1-NSW1,NSW1,C2020Q2:VIC1-NSW1:NSW1:T12,12,medium,in_sample,2500.15,1482.0,343.3946,28,12,0,17801.784,4120.7352,-13681.0488,1018.15,-1138.6054,631075.7627221919,649896.7757632878
2022-05-01T00:00:00+00:00,C2020Q3,NSW1-QLD1,NSW1,C2020Q3:NSW1-QLD1:NSW1:T09,9,low,in_sample,366.0,254.0,2.041,4,4,0,1017.016,8.164,-1008.852,112.0,-251.959,634179.4819221919,636215.7269632878
2022-05-01T00:00:00+00:00,C2020Q3,NSW1-QLD1,NSW1,C2020Q3:NSW1-QLD1:NSW1:T10,10,low,in_sample,323.5,200.0,2.041,11,4,0,800.8,8.164,-792.636,123.5,-197.959,633386.8459221919,635206.8749632877
2022-05-01T00:00:00+00:00,C2020Q3,NSW1-QLD1,NSW1,C2020Q3:NSW1-QLD1:NSW1:T11,11,low,in_sample,281.0,164.27,2.041,8,4,0,657.73708,8.164,-649.57308,116.73,-162.229,632737.2728421919,634414.2389632878
2022-05-01T00:00:00+00:00,C2020Q3,NSW1-QLD1,NSW1,C2020Q3:NSW1-QLD1:NSW1:T12,12,low,in_sample,267.5,210.08,2.041,9,5,0,1051.4504000000002,10.205,-1041.2454000000002,57.41999999999999,-208.039,631693.9864421919,633764.6658832878
2022-05-01T00:00:00+00:00,C2020Q3,V-SA,VIC1,C2020Q3:V-SA:VIC1:T09,9,medium,in_sample,1730.0,1092.5,456.305,7,7,0,7655.1475,3194.135,-4461.0125,637.5,-636.1949999999999,624049.0439421919,632723.4204832878
2022-05-01T00:00:00+00:00,C2020Q3,V-SA,VIC1,C2020Q3:V-SA:VIC1:T10,10,medium,in_sample,1643.5,1100.0,456.305,18,7,0,7707.7,3194.135,-4513.565,543.5,-643.6949999999999,619535.4789421919,628262.4079832878
2022-05-01T00:00:00+00:00,C2020Q3,VIC1-NSW1,NSW1,C2020Q3:VIC1-NSW1:NSW1:T09,9,low,in_sample,1975.0,1950.0,3936.2897,10,10,0,19519.5,39362.897,19843.396999999997,25.0,1986.2897,603210.1139421919,623748.8429832879
2022-05-01T00:00:00+00:00,C2020Q3,VIC1-NSW1,VIC1,C2020Q3:VIC1-NSW1:VIC1:T09,9,low,in_sample,5166.72,4999.95,4144.0069,12,12,0,60059.399399999995,49728.082800000004,-10331.316599999991,166.77000000000044,-855.9430999999995,582513.6115421919,643592.2399832879
