month,dataset,dataset_status,rows,files,min_interval,max_interval,blocker
2023-12,UNIT_COMMITMENT,DERIVED_PARTIAL,8928,1.0,2023-11-30T14:05:00Z,2023-12-31T14:00:00Z,Derived proxy from SCADA only (no unit technology register)
2023-12,RENEWABLE_GENERATION,DERIVED_PARTIAL,8928,1.0,2023-11-30T14:05:00Z,2023-12-31T14:00:00Z,No DUID technology map in repo snapshot
2023-12,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2023-12,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2024-01,DISPATCHPRICE,AVAILABLE,8928,1.0,2023-12-31T14:05:00Z,2024-01-31T14:00:00Z,
2024-01,DISPATCHREGIONSUM,AVAILABLE,8928,1.0,2023-12-31T14:05:00Z,2024-01-31T14:00:00Z,
2024-01,DISPATCHINTERCONNECTORRES,AVAILABLE,8928,1.0,2023-12-31T14:05:00Z,2024-01-31T14:00:00Z,
2024-01,DISPATCHCONSTRAINT,AVAILABLE,8928,1.0,2023-12-31T14:05:00Z,2024-01-31T14:00:00Z,
2024-01,DISPATCH_UNIT_SCADA,AVAILABLE,8928,1.0,2023-12-31T14:05:00Z,2024-01-31T14:00:00Z,
2024-01,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2024-01,UNIT_COMMITMENT,DERIVED_PARTIAL,8928,1.0,2023-12-31T14:05:00Z,2024-01-31T14:00:00Z,Derived proxy from SCADA only (no unit technology register)
2024-01,RENEWABLE_GENERATION,DERIVED_PARTIAL,8928,1.0,2023-12-31T14:05:00Z,2024-01-31T14:00:00Z,No DUID technology map in repo snapshot
2024-01,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2024-01,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2024-02,DISPATCHPRICE,MISSING,0,,,,
2024-02,DISPATCHREGIONSUM,MISSING,0,,,,
2024-02,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2024-02,DISPATCHCONSTRAINT,MISSING,0,,,,
2024-02,DISPATCH_UNIT_SCADA,AVAILABLE,8352,1.0,2024-01-31T14:05:00Z,2024-02-29T14:00:00Z,
2024-02,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2024-02,UNIT_COMMITMENT,DERIVED_PARTIAL,8352,1.0,2024-01-31T14:05:00Z,2024-02-29T14:00:00Z,Derived proxy from SCADA only (no unit technology register)
2024-02,RENEWABLE_GENERATION,DERIVED_PARTIAL,8352,1.0,2024-01-31T14:05:00Z,2024-02-29T14:00:00Z,No DUID technology map in repo snapshot
2024-02,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2024-02,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2024-03,DISPATCHPRICE,MISSING,0,,,,
2024-03,DISPATCHREGIONSUM,MISSING,0,,,,
2024-03,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2024-03,DISPATCHCONSTRAINT,MISSING,0,,,,
2024-03,DISPATCH_UNIT_SCADA,AVAILABLE,8928,1.0,2024-02-29T14:05:00Z,2024-03-31T14:00:00Z,
2024-03,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2024-03,UNIT_COMMITMENT,DERIVED_PARTIAL,8928,1.0,2024-02-29T14:05:00Z,2024-03-31T14:00:00Z,Derived proxy from SCADA only (no unit technology register)
