month,schema_version,column_count,schema_signature,schema_integrity
2022-06,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2022-07,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2022-08,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2022-09,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2022-10,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2022-11,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2022-12,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2023-01,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2023-02,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2023-03,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2023-04,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2023-05,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2023-06,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2023-07,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2023-08,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2023-09,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2023-10,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2023-11,5bd6bd9423870ac8,8,interval_timestamp_utc:str|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2023-12,e8865e9a267956d6,15,interval_timestamp_utc:str|dispatch_unit_scada_duid_count:float64|dispatch_unit_scada_total_mw:float64|dispatch_unit_scada_abs_total_mw:float64|dispatch_unit_scada_mean_mw:float64|dispatch_unit_scada_positive_mw:float64|dispatch_unit_scada_negative_mw:float64|dispatch_unit_scada_active_units:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2024-01,b3a7583b89a63f19,51,interval_timestamp_utc:str|dispatchprice_nsw_rrp:float64|dispatchprice_qld_rrp:float64|dispatchprice_sa_rrp:float64|dispatchprice_tas_rrp:float64|dispatchprice_vic_rrp:float64|dispatchprice_price_spread_max_min:float64|dispatchregionsum_total_demand_mw:float64|dispatchregionsum_nsw_demand_mw:float64|dispatchregionsum_qld_demand_mw:float64|dispatchregionsum_sa_demand_mw:float64|dispatchregionsum_tas_demand_mw:float64|dispatchregionsum_vic_demand_mw:float64|dispatchregionsum_total_forecast_demand_mw:float64|dispatchinterconnectorres_interconnector_count:float64|dispatchinterconnectorres_net_flow_mw:float64|dispatchinterconnectorres_metered_flow_mw:float64|dispatchinterconnectorres_total_abs_flow_mw:float64|dispatchinterconnectorres_export_limit_mw:float64|dispatchinterconnectorres_import_limit_mw:float64|dispatchinterconnectorres_directional_limit_mw:float64|dispatchinterconnectorres_utilisation_pct:float64|dispatchinterconnectorres_over_limit_count:float64|dispatchinterconnectorres_limit_invalid_count:float64|dispatchinterconnectorres_latest_publication_timestamp:str|qni_flow_mw:float64|qni_utilisation_pct:float64|qni_directional_limit_mw:float64|qni_over_limit_count:float64|dispatchinterconnectorres_intervention1_excluded:float64|dispatchinterconnectorres_intervention_pair_diff_count:float64|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|dispatch_unit_scada_duid_count:float64|dispatch_unit_scada_total_mw:float64|dispatch_unit_scada_abs_total_mw:float64|dispatch_unit_scada_mean_mw:float64|dispatch_unit_scada_positive_mw:float64|dispatch_unit_scada_negative_mw:float64|dispatch_unit_scada_active_units:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2024-02,e8865e9a267956d6,15,interval_timestamp_utc:str|dispatch_unit_scada_duid_count:float64|dispatch_unit_scada_total_mw:float64|dispatch_unit_scada_abs_total_mw:float64|dispatch_unit_scada_mean_mw:float64|dispatch_unit_scada_positive_mw:float64|dispatch_unit_scada_negative_mw:float64|dispatch_unit_scada_active_units:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2024-03,e8865e9a267956d6,15,interval_timestamp_utc:str|dispatch_unit_scada_duid_count:float64|dispatch_unit_scada_total_mw:float64|dispatch_unit_scada_abs_total_mw:float64|dispatch_unit_scada_mean_mw:float64|dispatch_unit_scada_positive_mw:float64|dispatch_unit_scada_negative_mw:float64|dispatch_unit_scada_active_units:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2024-04,e8865e9a267956d6,15,interval_timestamp_utc:str|dispatch_unit_scada_duid_count:float64|dispatch_unit_scada_total_mw:float64|dispatch_unit_scada_abs_total_mw:float64|dispatch_unit_scada_mean_mw:float64|dispatch_unit_scada_positive_mw:float64|dispatch_unit_scada_negative_mw:float64|dispatch_unit_scada_active_units:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
