month,dataset,dataset_status,lineage_hash,source_lineage_complete
2020-12,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2020-12,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2020-12,WEATHER,BLOCKED_EXTERNAL,,True
2020-12,FCAS,BLOCKED_EXTERNAL,,True
2021-01,DISPATCHPRICE,MISSING,,False
2021-01,DISPATCHREGIONSUM,MISSING,,False
2021-01,DISPATCHINTERCONNECTORRES,MISSING,,False
2021-01,DISPATCHCONSTRAINT,AVAILABLE,718ef4cdd3c3ee25226224e0aa8d7f5037d7a15a58311c78dfe857199faba312,True
2021-01,DISPATCH_UNIT_SCADA,MISSING,,False
2021-01,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2021-01,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2021-01,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2021-01,WEATHER,BLOCKED_EXTERNAL,,True
2021-01,FCAS,BLOCKED_EXTERNAL,,True
2021-02,DISPATCHPRICE,MISSING,,False
2021-02,DISPATCHREGIONSUM,MISSING,,False
2021-02,DISPATCHINTERCONNECTORRES,MISSING,,False
2021-02,DISPATCHCONSTRAINT,AVAILABLE,0800643ec49e65fdff4beee02fbe62f4a681c741443ce281b01d35115d4fef35,True
2021-02,DISPATCH_UNIT_SCADA,MISSING,,False
2021-02,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2021-02,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2021-02,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2021-02,WEATHER,BLOCKED_EXTERNAL,,True
2021-02,FCAS,BLOCKED_EXTERNAL,,True
2021-03,DISPATCHPRICE,MISSING,,False
2021-03,DISPATCHREGIONSUM,MISSING,,False
2021-03,DISPATCHINTERCONNECTORRES,MISSING,,False
2021-03,DISPATCHCONSTRAINT,AVAILABLE,726d490a06f490364315b8f502e60f6af5d90ab0057ec28c1f137a9976db58de,True
2021-03,DISPATCH_UNIT_SCADA,MISSING,,False
2021-03,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2021-03,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2021-03,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2021-03,WEATHER,BLOCKED_EXTERNAL,,True
2021-03,FCAS,BLOCKED_EXTERNAL,,True
2021-04,DISPATCHPRICE,MISSING,,False
2021-04,DISPATCHREGIONSUM,MISSING,,False
2021-04,DISPATCHINTERCONNECTORRES,MISSING,,False
2021-04,DISPATCHCONSTRAINT,AVAILABLE,20b5fe3864cb93a1d7b54e5cf9ef21b955b7caffb1b24ab2a751c47329c1c09e,True
2021-04,DISPATCH_UNIT_SCADA,MISSING,,False
2021-04,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2021-04,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2021-04,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2021-04,WEATHER,BLOCKED_EXTERNAL,,True
2021-04,FCAS,BLOCKED_EXTERNAL,,True
2021-05,DISPATCHPRICE,MISSING,,False
2021-05,DISPATCHREGIONSUM,MISSING,,False
2021-05,DISPATCHINTERCONNECTORRES,MISSING,,False
2021-05,DISPATCHCONSTRAINT,AVAILABLE,bfd25562fdf21406f6d39ba4d09cd67a82519a575e202dae4e11b12c533ba744,True
2021-05,DISPATCH_UNIT_SCADA,MISSING,,False
2021-05,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2021-05,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2021-05,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2021-05,WEATHER,BLOCKED_EXTERNAL,,True
2021-05,FCAS,BLOCKED_EXTERNAL,,True
2021-06,DISPATCHPRICE,MISSING,,False
2021-06,DISPATCHREGIONSUM,MISSING,,False
2021-06,DISPATCHINTERCONNECTORRES,MISSING,,False
2021-06,DISPATCHCONSTRAINT,AVAILABLE,3718658852e943a94078d7cc882d50d1a8b1ca2141547ed293ead879c61ff7e1,True
2021-06,DISPATCH_UNIT_SCADA,MISSING,,False
