month,rows,interval_coverage_pct,duplicate_canonical_keys,quality_mean,quality_p05,quality_p95,publication_lag_mean_minutes,publication_lag_p95_minutes,publication_lag_max_minutes,pit_integrity
2024-01,8929,100.0,0,97.66346099227238,97.6744,97.6744,0.0,0.0,0.0,True
2024-02,8353,100.0,0,99.98802825332216,100.0,100.0,0.0,0.0,0.0,True
2024-03,8929,100.0,0,99.98880053757419,100.0,100.0,0.0,0.0,0.0,True
2024-04,8641,100.0,0,99.9884272653628,100.0,100.0,0.0,0.0,0.0,True
2024-05,8929,100.0,0,99.98880053757419,100.0,100.0,0.0,0.0,0.0,True
2024-06,8641,100.0,0,99.9884272653628,100.0,100.0,0.0,0.0,0.0,True
2024-07,8929,100.0,0,99.98880053757419,100.0,100.0,0.0,0.0,0.0,True
2024-08,208994,100.0,0,,,,0.0,0.0,0.0,True
2024-09,200066,100.0,0,,,,0.0,0.0,0.0,True
2024-10,8929,100.0,0,99.98636588643744,100.0,100.0,595.0904476553166,595.1666666666666,595.7333333333333,True
2024-11,8641,100.0,0,99.98742094664969,100.0,100.0,595.0906172839507,595.1666666666666,616.7,True
2024-12,8929,100.0,0,99.98831360734685,100.0,100.0,595.0905540621267,595.1833333333333,595.6666666666666,True
2025-01,164930,100.0,0,,,,0.0,0.0,0.0,True
2025-02,156002,100.0,0,,,,0.0,0.0,0.0,True
2025-03,147938,100.0,0,,,,0.0,0.0,0.0,True
2025-04,139010,100.0,0,,,,0.0,0.0,0.0,True
2025-05,130370,100.0,0,,,,0.0,0.0,0.0,True
2025-06,121442,100.0,0,,,,0.0,0.0,0.0,True
2025-07,112802,100.0,0,,,,0.0,0.0,0.0,True
2025-08,103874,100.0,0,,,,0.0,0.0,0.0,True
2025-09,94946,100.0,0,,,,0.0,0.0,0.0,True
2025-10,86306,100.0,0,,,,0.0,0.0,0.0,True
2025-11,77378,100.0,0,,,,0.0,0.0,0.0,True
2025-12,68738,100.0,0,,,,0.0,0.0,0.0,True
2026-01,59810,100.0,0,,,,0.0,0.0,0.0,True
2026-02,50882,100.0,0,,,,0.0,0.0,0.0,True
2026-03,42818,100.0,0,,,,0.0,0.0,0.0,True
2026-04,33890,100.0,0,,,,0.0,0.0,0.0,True
2026-05,25250,100.0,0,,,,0.0,0.0,0.0,True
2026-06,16322,100.0,0,,,,0.0,0.0,0.0,True
2026-07,7682,100.0,0,,,,0.0,0.0,0.0,True
