asset_code,asset_name,network,state,latitude,longitude,capacity_mva,peak_demand_mva,available_mva,annual_deferral_aud,aug_cost_aud,proposed_timing,asset_category,data_year,data_source_file,built_at
EE_Southern Macarthur 66kV,SOUTHERN MACARTHUR 66KV,Endeavour Energy,NSW,-34.072102,150.73224,,,-8300000.000000001,480000.0,8300000.000000001,2027,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EE_Parramatta area 132kV oil insulated cables,PARRAMATTA AREA 132KV OIL INSULATED CABLES,Endeavour Energy,NSW,-33.824824,151.030938,,,-41800000.0,2410000.0,0.0,2029,,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EE_Parramatta 132kV cable capacity constraints,PARRAMATTA 132KV CABLE CAPACITY CONSTRAINTS,Endeavour Energy,NSW,-33.824824,151.030938,,,-4700000.0,270000.0,4700000.0,2029,Winter,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EX_EMD,EUMUNDI,Energex,QLD,-26.4824,152.9444,,,-560000.0,30000.0,560000.0,2025,Winter,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EX_LGV,LOGAN VILLAGE,Energex,QLD,-27.7701,153.1092,,,-11620000.0,690000.0,11620000.0,2027,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EX_NMC,NORTH MACLEAN,Energex,QLD,-27.7444,152.9861,,,-30450000.0,1800000.0,30450000.0,2028,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EX_PPE,PIMPAMA EAST,Energex,QLD,-27.8112,153.3356,,,-19140000.0,1130000.0,19140000.0,2027,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EX_WMR,WAMURAN,Energex,QLD,-27.0353,152.8556,,,-820000.0,50000.0,820000.0,2027,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EX_581,33 KV FEEDER 581,Energex,QLD,-27.448,153.111,,,-1320000.0,80000.0,1320000.0,2025,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EX_677,33 KV FEEDER 677,Energex,QLD,-27.448,153.111,,,-0.0,0.0,0.0,2025,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EX_3641,33 KV FEEDER 3641,Energex,QLD,-27.855,153.293,,,-6380000.0,380000.0,6380000.0,2027,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EX_3642,33 KV FEEDER 3642,Energex,QLD,-27.855,153.293,,,-150000.0,10000.0,150000.0,2025,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EX_314,33 KV FEEDER 314,Energex,QLD,-27.965,152.993,,,-16170000.000000002,960000.0,16170000.000000002,2027,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EX_436,33 KV FEEDER 436,Energex,QLD,-27.640174,152.687503,,,-150000.0,10000.0,150000.0,2027,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EX_499,33 KV FEEDER 499,Energex,QLD,-27.065188,152.963122,,,-150000.0,10000.0,150000.0,2025,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EX_509A,33 KV FEEDER 509A,Energex,QLD,-27.630686,152.778882,,,-150000.0,10000.0,150000.0,2027,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EX_510A,33 KV FEEDER 510A,Energex,QLD,-27.630686,152.778882,,,-0.0,0.0,0.0,2027,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
EX_3303,33 KV FEEDER 3303,Energex,QLD,-27.43422,153.142538,,,-750000.0,40000.0,0.0,2026,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
ER_10030331,ATHERTON (66/22KV),Ergon Energy,QLD,-17.2551,145.4776,,,-1570000.0,90000.0,0.0,2026,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_20001223,AYR (66/11KV),Ergon Energy,QLD,-19.5825,147.3664,,,-6860000.0,410000.0,0.0,2026,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_40000001,BILOELA (66/11KV),Ergon Energy,QLD,-24.4014,150.5078,,,-9430000.0,560000.0,0.0,2027,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_20002743,BOHLE (66/11KV),Ergon Energy,QLD,-19.2644,146.708,,,-900000.0,50000.0,0.0,2026,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_40017974,CALLIOPE (66/11KV),Ergon Energy,QLD,-24.0106,151.2113,,,-6900000.0,410000.0,0.0,2028,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_20003948,CAPE RIVER (66/11KV),Ergon Energy,QLD,-20.4758,145.4673,,,-13730000.0,810000.0,13730000.0,2025,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_60007255,CHARLEVILLE (66/22/11KV),Ergon Energy,QLD,-26.4062,146.2838,,,-1590000.0,90000.0,0.0,2028,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_60025697-1,CHINCHILLA BSP (132/33KV),Ergon Energy,QLD,-26.7446,150.6454,,,-9380000.0,560000.0,0.0,2028,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_82961890,CLARE SOUTH (66/11KV),Ergon Energy,QLD,-19.8384,147.213,,,-1090000.0,60000.0,0.0,2026,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_20003280,CRANBROOK (66/11KV),Ergon Energy,QLD,-19.3114,146.7471,,,-4080000.0,240000.0,0.0,2026,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_50000024,DEGILBO (66/11KV),Ergon Energy,QLD,-25.4816,151.9964,,,-5250000.0,310000.0,0.0,2026,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_20005446,EAST AYR (66/11KV),Ergon Energy,QLD,-19.5681,147.4084,,,-1140000.0,70000.0,0.0,2026,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_10030280,EVELYN (66/22KV),Ergon Energy,QLD,-17.4997,145.4943,,,-4520000.0,270000.0,0.0,2026,Winter,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_30064340,FARLEIGH (33/11KV),Ergon Energy,QLD,-21.1003,149.1032,,,-4900000.0,290000.0,0.0,2027,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_10030300-1,GEORGETOWN (66/22KV),Ergon Energy,QLD,-18.3295,143.5203,,,-0.0,0.0,0.0,2026,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
